	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
N3S2-5_S28	AT38	234	2	Cast	9/6/17	7:03	44.373	-43.393	morning	24	Deep	5	5.349	1024.1167	1024.1127	33.4116	1513.7	1513.67		2.4263	17.8635	4.391935	4.39044	97.87		0.2291	0.1094	5.5961701																														0.195	0.016	0.04	0.016	0.015	0.047		0.014	0.001	0.02	0.007	0.042	0.167	0.023	0.005	0.014	0.002	0.021	0.019		0.002	0.004	0.002	0.004	0.003		0.251	0.073	0.089	0.34	0.162	0.218	0.413	0.147	1.12	0.55	0.45	1.55	0.18	0.82	0.47																						37.69	36.5	2.90E-04	Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-25_S29	AT38	235	2	Cast	9/6/17	7:03	44.373	-43.393	morning	19	Deep	25	24.986	1024.3922	1024.3899	33.9133	1516.88	1516.84		2.4218	18.6447	4.528529	4.526549	98.4106		0.1855	0.1056	5.7456804						72.8		1.3				5		0.2	0		0.04		0.5		0.01		0							0.13	0.013	0.027	0.011	0.011	0.029		0.006		0.011	0.004	0.033	0.103	0.027		0.01	0.003	0.014	0.013		0.001	0.002	0.001		0.002		0.17	0.05	0.055	0.225	0.105	0.145	0.275	0.101	1.12	0.52	0.48	1.62	0.18	0.82	0.47	24.99	2	2.2	8.11		0.42			18000000	48500000	4760000	1860000													Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-50_S30	AT38	236	2	Cast	9/6/17	7:03	44.373	-43.393	morning	17	Deep	50	50.308	1026.5482	1026.5429	33.5975	1477.86	1477.79		2.4451	7.0161	3.406911	3.404619	95.935		1.1948	0.1466	5.6011537						65.7		1.3				5.9		0.3	0.18	0.05	0.3	0.02	1.33	0.06	0.93	TRUE	0.04		7.06	0.02				0.652	0.085	0.201	0.021	0.032	0.148	0.009	0.031	0.001	0.161	0.062	0.006	0.648		0.004	0.077	0.008	0.083	0.118		0.008	0.003	0.005	0.01	0.006	0.006	0.938	0.068	0.403	1.341	0.471	0.757	1.409	0.503	1.16	0.86	0.14	1.99	0.05	0.95	0.46	22.59	2	0.307	6.26		0.38			22800000	21500000	4240000	1570000													Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-75_S31	AT38	237	2	Cast	9/6/17	7:03	44.373	-43.393	morning	15	Deep	75	76.788	1027.1155	1027.1143	33.8091	1469.26	1469.5		2.2611	4.763	3.219884	3.225386	98.752		0.1818	0.1054	5.7157783						60.8		0.5				9.4		0.8	0		0.5		2.2		5.24		0.17		6.53	0.42				0.107	0.007	0.043	0.004	0.005	0.028	0.001	0.005		0.041	0.009	0.002	0.105		0.002	0.007		0.016	0.027				0.003	0.011			0.157	0.012	0.083	0.24	0.095	0.145	0.252	0.093	1.36	0.87	0.13	1.65	0.05	0.95	0.42	8.47	2	0.656	8.8		0.59			0	5970000	1170000	908000													Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-100_S32	AT38	238	2	Cast	9/6/17	7:03	44.373	-43.393	morning	13	Deep	100	101.657	1027.495	1027.4997	34.3311	1475.36	1475.35		2.1018	5.9454	3.376975	3.377079	99.3387		0.0099	0.0914	5.8054845						56.5		1.8				13.8		0.4	0		0.73		5.06		10.72		0		5.97	0.04				0.023	0.001	0.008	0.001	0.002	0.003		0.001		0.011	0.001	0.001	0.022		0.001	0.001		0.004	0.004				0.002	0.007			0.032	0.003	0.017	0.049	0.02	0.029	0.052	0.019	1.26	0.85	0.15	1.6	0.06	0.94	0.44	3.29	2	0.00259						0	606000	153000	198000													Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-150_S33	AT38	239	2	Cast	9/6/17	7:03	44.373	-43.393	morning	11	Deep	150	151.8	1027.8461	1027.8504	34.4458	1475.39	1475.4		1.9781	5.716	3.368154	3.368844	99.4625		-0.0019	0.0897	5.7556477						53.9		1				16.2		0.6	0	0	0.9	0.06	7.48	0.1	13.87	TRUE	0.1		5.59	0.05																																													2.19	2	0.0235	2.26		0.19			0	130000	82600	23600													Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-200_S34	AT38	240	2	Cast	9/6/17	7:03	44.373	-43.393	morning	9	Deep	200	203.098	1028.1907	1028.1949	34.4958	1474.09	1474.09		1.9152	5.166	3.325871	3.326166	99.5092		-0.014	0.0885	5.8204355						53		0.1				18.7		0.8	0	0	1.02	0.01	9.2		15.77	TRUE	0.11		5.47	0.05																																													1.74	2	0.0295	2.19		0.15																			Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S2-300_S35	AT38	241	2	Cast	9/6/17	7:03	44.373	-43.393	morning	7	Deep	300	303.032	1028.8044	1028.808	34.8122	1479.16	1479.15		1.752	5.9175	3.426205	3.42623	99.6937		-0.0274	0.0822	5.8104682						49.6		0.5				20.7		0.6	0		1.15		11.8		18.96		0		4.83	0.05																																													0.98	2	0.135	1.98		0.07																			Y	Core	Cyclone	Strong	Subtropical	-27.8	0.9	2.21	58.13154476	51	no
N3S3Ml1_S143	AT38		3	ML	9/8/17	8:00	47.056	-40.063	morning	ML	Microlayer	0.1																			117		0.7				10.8		0.4				0.07		0.23		0.82		0.37		0.03																																																			12.1		0.89																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-Ml2_S55	AT38		3	ML	9/8/17	17:00	46.987	-40.161	afternoon	ML	Microlayer	0.1																			104.9		3.2				11		0.4				0		0.29		0.7		1.05		0.07																																																																								Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-5_S138	AT38	226	3	Cast	9/8/17	7:39	47.05	-40.05	morning	24	Deep	5	7.952	1025.551	1025.5569	35.7185	1520.16	1520.15		2.3821	19.1883	4.795914	4.795939	98.1148		0.1502	0.0861	5.8304029																																																																																												16.86	6.5	1.22E-04	Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-25_S139	AT38	227	3	Cast	9/8/17	7:39	47.05	-40.05	morning	19	Deep	25	27.846	1025.9276	1025.9316	35.9637	1519.65	1519.65		2.368	18.7978	4.785473	4.785777	97.7815		0.6186	0.1033	5.8304029						63		1.3				4.4		0.4	0		0.01		0.32		0		0.02		5.39	0.03				0.268	0.054	0.057	0.025	0.03	0.061	0.001	0.008		0.008	0.011	0.067	0.163	0.104	0.001	0.036	0.018	0.029	0.028	0.001	0.003	0.003	0.002	0.004	0.003		0.379	0.101	0.11	0.489	0.211	0.322	0.59	0.232	1.2	0.52	0.48	1.8	0.17	0.83	0.45	16.6	2	0.606	13.3		1.23			56100000	16800000	1610000	757000													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-50_S40	AT38	228	3	Cast	9/8/17	7:39	47.05	-40.05	morning	17	Deep	50	27.822	1025.9473	1025.9527	35.9763	1519.54	1519.53		2.3636	18.7526	4.782705	4.782586	97.7946		0.6035	0.1007	5.8304029						55.6		0.8				8.2		0.2	0		0.01		0.34		0		0							0.177	0.044	0.059	0.007	0.032	0.035	0.003	0.005		0.037	0.002	0.005	0.176		0.001	0.044		0.023	0.036	0.001	0.007	0.002	0.002	0.006	0.006		0.28	0.02	0.106	0.386	0.126	0.229	0.406	0.158	1.29	0.84	0.16	2.22	0.05	0.95	0.44	5.12	2	0.278	9.58		1.22			106000000	37600000	5060000	1040000													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-75	AT38	229	3	Cast	9/8/17	7:39	47.05	-40.05	morning	15	Deep	75	76.386	1027.022	1027.0278	36.2495	1512.76	1512.75		2.1945	16.0795	4.541671	4.541663	99.2069		-0.0131	0.0779	5.8304029						51.7		1.2				8.7		0.2	0		0.28		2.12		5.22		0		5.17	0.07				0.023	0.002	0.009	0.001	0.007	0.006		0.001		0.005	0.001		0.023			0.002		0.003	0.006								0.034	0.002	0.019	0.053	0.021	0.032	0.055	0.021	1.39	0.9	0.1	1.62	0.04	0.96	0.42	1.68	2	0.0167	2.76		0.44			3360000	5480000	2820000	238000													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-100_S141	AT38	230	3	Cast	9/8/17	7:39	47.05	-40.05	morning	13	Deep	100	101.488	1027.1608	1027.1667	36.2051	1512.3	1512.29		2.1893	15.8103	4.51043	4.510399	99.1977		0.0052	0.0783	5.860305						52.4		2				9.2		0.4	0		0.28		2.29		5.47		0		5.27	0.04				0.02	0.002	0.009	0.001	0.007	0.004		0.001		0.006	0.001		0.02			0.002		0.003	0.006								0.031	0.002	0.018	0.049	0.02	0.031	0.051	0.02	1.55	0.9	0.1	1.55	0.04	0.96	0.39	1.43	2	0.00143	4.04		0.35			0	99100	169000	9910													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-150	AT38	231	3	Cast	9/8/17	7:39	47.05	-40.05	morning	11	Deep	150	151.008	1027.4249	1027.4307	36.1939	1512.37	1512.36		2.2374	15.5741	4.487298	4.487368	99.2736		-0.0658	0.0788	5.8503376						53.4		1.3				8.9		0.4	0		0.28		2.13		5.02		0.01		5.53	0.04																																													1.2	2	0.115	3.73		0.29			0	67400	33700	33700													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-200_S44	AT38	232	3	Cast	9/8/17	7:39	47.05	-40.05	morning	9	Deep	200	202.498	1027.6578	1027.6635	36.1801	1512.99	1512.98		2.2268	15.5019	4.480813	4.480829	99.2845		-0.0411	0.0714	5.8453539						52.7		2.1				9.2		0.2	0		0.29		2.26		5.08		0		5.41	0.02																																													1.55	2	0.294	3.29		0.24			0	0	22100	0													Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-300_S45	AT38	233	3	Cast	9/8/17	7:39	47.05	-40.05	morning	7	Deep	300	303.9	1028.1635	1028.1692	36.1157	1513.1	1513.09		2.1811	15.0254	4.42999	4.430039	99.4098		-0.0704	0.0615	5.8503376						52.2		1.3				10.5		0.3	0		0.35		2.67		6.18		0.01		5.45	0.07																																													0.55	2	0.0735	1.82		0.17																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-40_S47	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	18	Deep	40	39.938	1026.5071	1026.5107	36.1784	1515.9	1515.88		2.2641	17.348	4.662423	4.661955	98.1386		0.8182	0.0894	5.8304029						58.3		1				7		0	0		0.14		1.06		2.54		0.17				0.405555122	0.247631459	0.653186581	0.304	0.046	0.116	0.013	0.084	0.098	0.003	0.011		0.034	0.014	0.011	0.286	0.017	0.001	0.039	0.007	0.049	0.067		0.005	0.002	0.002	0.005	0.003		0.466	0.038	0.23	0.696	0.268	0.43	0.734	0.29	1.41	0.86	0.14	1.74	0.05	0.95	0.41																									Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-100_S48	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	15	Deep	100	101.31	1027.172	1027.1778	36.1923	1511.98	1511.98		2.1963	15.716	4.499155	4.49937	99.2281		-0.0206	0.0784	5.8304029						53.6		1.1				9.3		0.4	0	0	0.26	0.03	2.76	0.25	5.37	TRUE	0.01				0.013416861	0.036891733	0.050308594	0.011	0.001	0.005		0.002	0.002				0.005			0.011			0.001		0.002	0.003								0.017	0.001	0.009	0.026	0.01	0.016	0.027	0.01	1.43	0.93	0.07	1.75	0.03	0.97	0.41																									Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-300_S49	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	12	Deep	300	303.923	1028.1695	1028.175	36.1129	1512.99	1512.98		2.1848	14.9912	4.426298	4.426287	99.4608		-0.0573	0.0645	5.7406967						52.4		0.7				10.9		0.1	0	0	0.32	0.01	3.11	0.21	6.02	TRUE	0.03																																																																								Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-1-8	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	5	Deep	1800	1823.891	1036.0666	1036.0717	34.9169	1496.12	1496.1		1.7528	3.8576	3.314965	3.314939	99.8349		-0.0145	0.0441	5.5862027						47.1		0.6				19.7		0.5	0		0.97		10.55		14.55		0.03																																																																								Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-2_S51	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	4	Deep	2000	2026.519	1036.9929	1036.9977	34.9251	1499.16	1499.15		1.7016	3.77	3.316033	3.316021	99.8555		-0.0312	0.0336	5.6559742						45.3		1				19.6		0.2	0		0.98		11.2		15.05		0																																																			0.71		0.1																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d2-3_S145	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	3	Deep	2300	2332.857	1038.3829	1038.3876	34.9343	1503.82	1503.8		1.6323	3.6483	3.318183	3.318126	99.8696		-0.0353	0.0376	5.6609579						45.1		0.8				20.3		0.8	0		0.99		12.36		15.48		0																																																			0.42		0.06																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d2-6_S53	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	2	Deep	2600	2628.14	1039.7254	1039.7297	34.9304	1507.81	1507.79		1.5818	3.4109	3.308244	3.308159	99.9027		-0.014	0.0356	5.8154519						45		0.6				19.5		0.6	0		1.03		13.21		15.26		0																																																			0.77		0.06																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3d-3_S54	AT38		3	Cast	9/8/17	15:30	46.986	-40.1644	afternoon	1	Deep	3000	3047.172	1041.6184	1041.6227	34.9261	1513.58	1513.56		1.5216	3.0933	3.295623	3.295509	99.6362		-0.0203	0.0356	13.046769						45.8		0				19.1		0.1	0.005190812	0.007340916	0.98	0.04	13.89	0.07	14.73	TRUE	0																																																			0.69		0.06																			Y	Core	Mode-Water	Strong	Subtropical	53.9	1.2	2.08	65.82137546	58	no
N3S3-5-Ml1_S64	AT38		3.5	ML	9/9/17	11:00	48.043	-39.238	morning	ML	Microlayer	0.1																			94.6		1.5				8.1		0.5				0		0.23		1		1.11		0.03																																																			23.3		1.48																			N				Subtropical			2.45			no
N3S3-5-5_S56	AT38	218	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	24	Deep	5	5.427	1025.4502	1047.3708	58.4572	1509.46	1472.89		2.4056	16.0351	4.345995	4.346939	95.2625		0.4846	0.1374	5.5513169																																																																																												10.91	9.5	1.41E-04	N				Subtropical			2.45			no
N3S3-5-25_S57	AT38	219	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	20	Deep	25	25.365	1025.6743	1047.5824	58.57	1508.82	1472.22		2.3784	15.6891	4.321872	4.322067	96.5397		0.8796	0.1433	5.566268																																																																															22800000	82300000	8630000	2180000													N				Subtropical			2.45			no
N3S3-5-50_S58	AT38	220	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	18	Deep	50	50.273	1026.5545	1049.0944	60.0005	1501.42	1463.84		2.262	13.1379	4.107174	4.110187	98.5588		0.2788	0.0947	5.566268																																																																															21200000	84500000	9750000	1260000													N				Subtropical			2.45			no
N3S3-5-75_S59	AT38	221	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	16	Deep	75	76.016	1027.1147	1050.3256	61.1989	1497.08	1458.65		2.1561	11.6778	3.985689	3.986752	99.1255		0.0666	0.0987	5.5612843																																																																															1080000	4540000	1820000	149000													N				Subtropical			2.45			no
N3S3-5-100_S146	AT38	222	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	14	Deep	100	103.385	1027.3375	1050.726	61.5555	1499.34	1461.4		2.058	12.1445	4.054455	4.05633	99.4131		-0.0107	0.0831	5.5712517																																																																															6580000	15100000	2260000	972000													N				Subtropical			2.45			no
N3S3-5-150_S61	AT38	223	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	12	Deep	150	151.973	1027.6691	1051.4322	62.0666	1498.02	1459.43		1.9969	11.4641	3.99613	3.996135	99.545		-0.0285	0.091	5.5513169																																																																															193000	13800	0	96600													N				Subtropical			2.45			no
N3S3-5-200_S62	AT38	224	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	10	Deep	200	201.725	1027.9748	1051.606	61.933	1495.19	1456.07		1.9187	10.489	3.889168	3.889465	99.5776		-0.0258	0.0855	5.5612843																																																																																															N				Subtropical			2.45			no
N3S3-5-300_S63	AT38	225	3.5	Cast	9/9/17	10:06	48.046	-39.246	morning	8	Deep	300	303.434	1028.5987	1052.5009	62.2965	1487.77	1446.91		1.8342	8.1005	3.639152	3.639652	99.5727		-0.0142	0.0885	5.5413496																																																																																															N				Subtropical			2.45			no
N3S4-ML	AT38		4	ML	9/10/17	8:00	48.643	-39.135	morning	ML	Microlayer	0.1																			95.6		0.7	90.5	1		7.7		0.1	7.4		0.3	0		0.22		0.76		0.47		0.06																																																																								Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-Ml2_S74	AT38		4	ML	9/10/17	17:00	48.641	-39.132	afternoon	ML	Microlayer	0.1																			85.4		1.1	84.9	2.1		7.3		0	6.4		0.4	0		0.2		0.95		0.51		0.02																																																			12.5		1.01																			Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-5_S65	AT38	210	4	Cast	9/10/17	7:30	48.643	-39.135	morning	24	Deep	5	4.647	1025.4058	1025.4057	34.6617	1510.84	1510.84		2.3991	16.4439	4.396341	4.396383	97.0254		0.3887	0.1316	5.5762353																														0.207	0.019	0.053	0.012	0.024	0.068	0.001	0.019	0.002	0.016	0.007	0.024	0.203	0.003	0.001	0.019		0.026	0.027	0.001	0.003	0.005	0.002		0.003		0.279	0.058	0.115	0.394	0.173	0.245	0.452	0.159	1.18	0.66	0.34	1.61	0.13	0.87	0.46																						39.67	15.5	1.61E-04	Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-25_S66	AT38	211	4	Cast	9/10/17	7:30	48.643	-39.135	morning	19	Deep	25	26.077	1025.6099	1025.609	34.6669	1509.81	1509.81		2.383	15.9903	4.353357	4.353305	97.0645		0.6579	0.1422	5.5463333															0		0.07		0.61		0		0		5.8	0				0.281	0.038	0.089	0.013	0.044	0.105	0.002	0.013	0.001	0.023	0.01	0.025	0.275	0.004	0.002	0.038		0.04	0.049	0.001	0.005	0.005	0.002	0.003	0.005		0.408	0.054	0.182	0.59	0.236	0.363	0.644	0.247	1.29	0.77	0.23	1.73	0.08	0.92	0.44	20.77	2	1.17	12.4		0.75			2220000	55200000	9360000	1820000													Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-50_S67	AT38	212	4	Cast	9/10/17	7:30	48.643	-39.135	morning	17	Deep	50	49.216	1026.8207	1026.8316	34.8469	1495.04	1494.88		2.2369	11.2531	3.919201	3.915044	98.5507		0.5424	0.1107	5.5563006															0.2		0.41		1.99		5.53		0.89		5.88	0.05																																													8.55	2	0.401	10.9		1.35			3020000	65500000	11200000	2260000													Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-75_S68	AT38	213	4	Cast	9/10/17	7:30	48.643	-39.135	morning	15	Deep	75	75.646	1027.266	1027.2667	34.9139	1490.13	1490.13		2.2023	9.7675	3.781981	3.782043	99.514		0.0195	0.0896	5.5463333															0		0.53		2.55		7.64		0.05		5.93	0.06				0.034	0.013	0.009	0.002	0.003	0.007	0.001	0.001		0.005	0.001	0.001	0.034			0.013		0.003	0.006		0.001				0.002		0.056	0.005	0.016	0.072	0.021	0.043	0.077	0.031	1.26	0.76	0.24	2.67	0.06	0.94	0.44	2.86	2	0.071	11.9		0.96			19500	6880000	2640000	221000													Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-100_S69	AT38	214	4	Cast	9/10/17	7:30	48.643	-39.135	morning	13	Deep	100	102.348	1027.4881	1027.4886	34.9224	1488.53	1488.54		2.149	9.2046	3.730905	3.73111	99.6036		-0.0148	0.0966	5.5513169															0	0	0.62	0.02	4.01	0.02	9.61	TRUE	0		5.84	0.01				0.005	0.001	0.002		0.001	0.001				0.001			0.005			0.001		0.001	0.001								0.008		0.003	0.011	0.003	0.006	0.011	0.004	1.2	1		2.67		1	0.45	2.37	2	0.149	4.14		0.28			0	887000	172000	68900													Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-150_S70	AT38	215	4	Cast	9/10/17	7:30	48.643	-39.135	morning	11	Deep	150	152.079	1027.8849	1027.8858	34.8748	1484.4	1484.4		1.9772	7.8889	3.605985	3.606125	99.6177		-0.0183	0.0993	5.5513169															0		0.89		8.12		13.7		0		5.43	0.06																																													1.2	2	0.00527	3.96		0.38			85200	0	14200	42600													Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-200_S71	AT38	216	4	Cast	9/10/17	7:30	48.643	-39.135	morning	9	Deep	200	203.014	1028.1709	1028.1724	34.8692	1483.75	1483.74		1.8846	7.497	3.571771	3.571631	99.6536		-0.0216	0.0966	5.5612843															0		1		9.17		14.76		0		5.22	0.07																																													1.03	2	0.0345	3.57		0.21																			Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-300_S72	AT38	217	4	Cast	9/10/17	7:30	48.643	-39.135	morning	7	Deep	300	303.577	1028.7721	1028.7732	34.8846	1481.95	1481.95		1.7067	6.6021	3.494959	3.495216	99.7643		-0.0301	0.0885	5.5313822															0		1.17		12.15		17.33		0		4.79	0.05																																													0.57	2	0.0253	1.65		0.12																			Y	Periphery	Cyclone	Strong	Subtropical	-8.3	0.2	3.48	50.99011738	46	no
N3S4-5-ML	AT38		4.5	ML	9/11/17	15:00	50.157	-39.259	afternoon	ML	Microlayer	0.1																			141.1		1.2	132	1.8		17.6		0.1	17.1		0.7	1.61		0.07		0.71		0.56		0.09																																																			15.8		1.93																			N				Temperate			3.08			no
N3S4-5-5_S75	AT38	202	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	24	Deep	5	5.555	1025.0952	1025.0935	33.9743	1507.16	1507.18		2.4122	15.5098	4.227706	4.228282	95.5329		0.6307	0.1431	5.7107946																																																																																												6.94	4.5	1.72E-04	N				Temperate			3.08			no
N3S4-5-25_S76	AT38	203	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	21	Deep	25	26.16	1026.2044	1026.2137	35.306	1509.13	1509.02		2.3632	15.4946	4.379248	4.375534	95.2463		1.9176	0.1652	5.5164312						64.6		0.8				4		0.1	0.12		0.08		0.67		0.32		0																																																0.72	2	0.0699	18.8		1.1			11500000	100000000	11300000	2270000													N				Temperate			3.08			no
N3S4-5-50_S77	AT38	204	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	19	Deep	50	50.773	1026.8974	1026.8982	35.7469	1506.59	1506.57		2.1199	14.4292	4.319202	4.318715	98.4682		0.5775	0.115	5.5263985						60.3		1				9		0.2	0.17		0.27		2.04		5.53		0																																																0.77	2	0.0244	6.77		0.41			4530000	98600000	13700000	1880000													N				Temperate			3.08			no
N3S4-5-75_S78	AT38	205	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	17	Deep	75	77.099	1027.0998	1027.1002	35.8203	1506.67	1506.67		2.0657	14.2974	4.314642	4.314664	99.3094		0.0998	0.0963	5.5064638						53.7		0.5				12.3		0.6	0.05		0.39		2.77		8.14		0																																																0.72	2	0.00665	6.2		0.69			180000	7230000	2180000	1170000													N				Temperate			3.08			no
N3S4-5-100_S79	AT38	206	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	15	Deep	100	103.377	1027.273	1027.2736	35.6261	1503.7	1503.7		2.0454	13.3204	4.198126	4.19821	99.4348		0.0619	0.093	5.5712517						52.2		1.1				11.5		0.4	0.08		0.46		3.06		8.58		0																																																0.78	2	0.0488	4.77		0.49			89800	747000	139000	24500													N				Temperate			3.08			no
N3S4-5-150_S80	AT38	207	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	13	Deep	150	153.089	1027.5693	1027.5698	35.4621	1501.01	1501.01		2.0188	12.3248	4.085573	4.085705	99.5493		-0.0299	0.0937	5.566268						50.7		0.9				13.5		0.3	0.12	0.05	0.56	0.01	3.94	0.25	9.82	TRUE	0																																																0.73	2	0.0215	4.18		0.17			93900	73000	31300	20900													N				Temperate			3.08			no
N3S4-5-200	AT38	208	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	11	Deep	200	202.984	1027.8671	1027.8672	35.4397	1500.21	1500.21		2.0019	11.8566	4.040047	4.040096	99.5993		-0.0458	0.0946	5.5712517						51.1		1.2				14.5		0.4	0.16		0.58		4.22		10.56		0																																																0.75	2	0.0168	4.45		0.4																			N				Temperate			3.08			no
N3S4-5-300_S82	AT38	209	4.5	Cast	9/11/17	15:12	50.136	-39.262	afternoon	9	Deep	300	304.037	1028.4648	1028.4646	35.2657	1496.47	1496.47		1.8616	10.3661	3.883366	3.883581	99.7171		-0.0433	0.1003	5.5612843						50.2		1.3				17.2		0.8	0.1	0.04	0.88	0.07	6.25	0.05	13.93	FALSE	0																																																0.56	2	0.0155	3.63		0.35																			N				Temperate			3.08			no
N3S5-Ml1_S92	AT38		5	ML	9/12/17	8:00	51.681	-39.513	morning	ML	Microlayer	0.1																						90.4	1		6.7		0.4				0		0.19		0.72		0.13		0.01																																																			15.5		1.62																			N				Temperate			3.05	39.80216767	37	no
